AuthorityName,Region,Sector,authority_id,FOISA requests,FOISA closed - unclear,FOISA closed - withdrawn,FOISA fees notice,FOISA - fees paid,FOISA response on time,FOISA response late,FOISA - faliure to respond,FOISA refused - cost,FOISA - vexatious,FOISA - repeated,FOISA - full release,FOISA - none released,FOISA - some released,FOISA - none held ,FOISA - no confirm/deny,EIR requests,EIR closed - unclear ,EIR closed - withdrawn,EIRs fees notice,EIRs - fees paid,EIRs response on time,EIRs response late,EIRs - failure to respond,EIR timescale extended,EIRs refused - cost,EIRs - manifestly unreasonable,EIRs - full release,EIRs - none released ,EIRs - some released,EIRs - none held,EIRs - no confirm/deny,Subject Access Requests,FOISA reviews ,FOISA review - on time,FOISA review - late response,FOISA review - failure to respond,FOISA review - wholly/partially upheld,FOISA review - substituted decision,FOISA review - decision reached ,EIRs reviews,EIRs review - on time,EIRs review - late response ,EIRs review - failure to respond,EIR review - upheld,EIR review - not upheld,Otherwise accessible,Publication Scheme ,Disclosure prohibited: enactment ,Disclosure prohibited: EU obligation,Disclosure prohibited: Contempt of Court,Future publication: 12 weeks,Future publication: programme of research,Substantial prejudice to UK relations ,Formulation/development of government policy,Ministerial communications,Advice by Law Officers,Operation of Ministerial private office,Substantial prejudice to collective responsibility of Scottish Ministers,Substantial inhibition to free and frank provision of advice,Substantial inhibition to free and frank exchange of views,Substantial prejudice to effective conduct of public affairs,National security,Substantial prejudice to defence ,Substantial prejudice to international relations,Confidential information obtained from abroad,Trade secret,Substantial prejudice to commercial interests,Substantial prejudice to the economic interests of the UK,Substantial prejudice to the financial interests of a UK administration,Information held for the purposes of a criminal investigation,Information held for ongoing Fatal Accident Inquiry,Information held regarding cause of death,Information relating to the obtaining of information from confidential sources,Information held for purposes of civil proceedings arising out of investigations,Substantial prejudice to prevention or detection of crime,Substantial prejudice to apprehension or prosecution of offenders,Substantial prejudice to administration of justice,Substantial prejudice to assessment or collection of tax or duty,Substantial prejudice to operation of immigration controls,Substantial prejudice to maintenance of security and good order in prisons,Substantial prejudice to the exercise by a public authority for any of its functions,Substantial prejudice to civil proceedings brought by an authority,Confidentiality of communications,Actionable breach of confidence,Court records,Court records: inquiry or arbitration,Personal data of the applicant,Third party personal data ,Personal census information,Deceased person's health record,Endangerment to health or safety,Environmental information ,Substantial prejudice to audit function,Communications with the Royal Family and honours,Material in course of completion,Internal Communications,Substantial prejudice to international relations public safety etc.,Substantial prejudice to course of justice etc.,Substantial prejudice to intellectual property rights,Substantial prejudice to confidentiality of proceedings,Substantial prejudice to confidentiality of commercial or industrial information ,Substantial prejudice to the interests of a third party,Substantial prejudice to the protection of the environment,Neither confirm nor deny whether environmental information held,Personal data of the applicant,Third party personal data,Neither confirm or deny whether personal data held
East Renfrewshire Council and Licensing Board,Strathclyde,Local Government,69,876,2,3,2,0,697,147,16,7,0,0,670,64,121,74,0,307,2,1,10,1,277,26,9,0,0,0,209,38,58,33,0,27,6,3,2,0,4,1,0,8,5,1,1,3,3,48,0,1,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,2,34,0,0,1,0,0,0,0,0,1,1,0,2,7,0,0,0,0,3,0
Falkirk Council,Central,Local Government,71,1284,15,13,2,1,1119,118,1,35,0,1,853,174,183,142,10,132,4,0,0,0,119,9,0,12,0,0,120,2,1,1,0,271,13,12,2,0,10,4,0,0,0,0,0,0,0,10,0,20,7,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,31,0,1,0,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Falkirk Licensing Board,Central,Local Government,72,6,0,0,0,0,5,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fife Council and Licensing Board,Fife,Local Government,73,1547,11,14,0,0,1386,161,0,23,0,0,1175,160,181,108,0,396,1,2,0,0,370,26,0,5,0,0,291,37,60,30,0,300,41,34,5,0,24,11,5,18,18,0,0,10,8,34,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,4,63,0,1,1,0,0,0,3,1,0,0,0,3,0,0,0,0,17,6,0
Fife Health Board,Fife,National Health Service,75,515,3,3,0,0,414,94,0,9,0,0,393,49,57,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Forth Valley College of Further and Higher Education,Central,Educational Institutions,78,31,0,0,0,0,30,1,0,0,0,0,23,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forth Valley Health Board,Central,National Health Service,79,613,2,5,0,0,514,86,5,55,0,0,349,6,178,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456,11,10,1,0,4,4,0,0,0,0,0,0,0,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Teaching Council for Scotland,National,Others e.g. NDPBs,80,64,3,,,,64,1,,,,3,29,16,2,9,,,,,,,,,,,,,,,,,,1,5,5,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glasgow Caledonian University,Strathclyde,Educational Institutions,81,240,10,1,0,0,201,27,0,1,0,0,157,2,57,12,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,48,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glasgow City Council,Strathclyde,Local Government,82,2765,5,50,0,0,2403,271,0,26,12,1,759,175,300,295,0,372,0,2,322,122,323,51,0,,1,,155,10,13,31,0,325,102,100,2,0,46,29,27,27,27,0,0,20,7,79,0,5,0,0,2,0,0,0,0,0,0,0,0,0,10,2,0,0,0,44,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,6,0,0,0,0,100,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City of Glasgow Licensing Board,Strathclyde,Local Government,83,27,0,2,0,0,22,2,1,0,0,0,0,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Glasgow School of Art,Strathclyde,Educational Institutions,85,68,0,0,0,0,68,0,0,2,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grampian Health Board,Grampian,National Health Service,86,708,4,2,0,0,671,31,0,47,0,2,282,0,283,189,0,4,0,0,0,0,4,0,0,0,0,0,3,0,0,1,0,1699,9,7,2,0,7,2,0,0,0,0,0,0,0,38,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,150,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greater Glasgow Health Board,Strathclyde,National Health Service,88,897,11,8,0,0,735,91,1,18,0,0,578,9,149,52,1,23,0,0,0,0,15,0,1,0,0,0,9,1,4,0,0,7112,13,8,5,2,6,6,1,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
Heriot-Watt University,Lothian and Borders,Educational Institutions,93,210,3,2,0,0,194,14,0,2,0,0,133,0,24,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highland and Western Isles Valuation Joint Board,Highland and Islands,Local Government,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highland Council and Licensing Board,Highland and Islands,Local Government,95,1112,12,19,0,0,807,308,0,17,0,0,757,46,117,155,0,461,5,6,0,0,313,145,0,1,0,0,347,18,34,49,0,7,20,15,5,0,7,0,13,10,7,2,1,5,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,12,0,0,0,0,0,0,0,2,0,1,0,2,3,0,0,0,0,2,0
Highland Health Board,Highland and Islands,National Health Service,97,569,1,4,0,0,430,137,2,15,4,0,490,24,18,29,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,10,21,18,3,0,11,10,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highlands and Islands Enterprise,Highland and Islands,Others e.g. NDPBs,98,72,2,0,0,0,64,2,0,0,8,0,31,0,17,15,0,4,0,0,0,0,4,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Inverclyde Council,Strathclyde,Local Government,100,1193,21,13,1,0,994,151,0,10,0,5,1039,55,36,35,0,14,0,0,3,0,14,0,0,1,0,1,9,3,1,0,0,44,12,11,1,0,9,3,0,8,2,6,0,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0
Inverclyde Licensing Board,Strathclyde,Local Government,101,6,0,1,0,0,5,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inverness College,Highland and Islands,Educational Institutions,102,33,0,1,0,0,25,8,0,0,0,0,21,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keeper of the Registers of Scotland,National,Non Ministerial Officeholders,105,103,1,2,0,0,95,3,0,0,0,1,31,9,48,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,1,0,3,1,0,0,0,0,0,0,0,38,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,28,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lanarkshire Health Board,Strathclyde,National Health Service,108,674,1,1,0,0,631,27,0,28,0,1,274,132,252,54,0,11,0,0,0,0,6,0,0,0,0,0,0,0,4,2,0,,3,4,1,0,5,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,53,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lanarkshire Valuation Joint Board,Strathclyde,Local Government,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lews Castle College,Highland and Islands,Educational Institutions,112,37,0,0,0,0,39,0,0,0,0,0,33,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Local Government Boundary Commission for Scotland,National,Others e.g. NDPBs,113,20,0,0,0,0,22,2,0,0,0,0,17,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Lomond and The Trossachs National Park Authority,Strathclyde,Others e.g. NDPBs,114,29,1,0,0,0,29,0,0,0,0,0,14,0,10,6,0,69,1,1,0,0,70,0,0,2,0,0,30,0,32,4,0,2,2,2,0,0,2,0,0,6,6,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,43,0,0,7,4,0,0,0,1,4,1,0,0,0,3,0
Lothian Health Board,Lothian and Borders,National Health Service,115,733,1,17,0,0,675,48,1,99,0,0,373,110,217,53,0,5,0,0,0,0,3,0,1,1,0,0,2,0,0,0,0,34,21,20,1,0,13,6,1,0,0,0,0,0,0,59,0,0,0,0,5,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,7,4,4,1,0,0,0,0,1,1,1,0,0,0,0,0,5,5,0,0,2,131,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mental Welfare Commission for Scotland,National,Others e.g. NDPBs,118,9,0,0,0,0,9,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,3,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midlothian Council,Lothian and Borders,Local Government,119,873,0,0,0,0,774,52,16,2,0,0,803,7,14,3,0,21,0,0,0,0,21,0,0,0,0,0,21,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midlothian Licensing Board,Lothian and Borders,Local Government,120,16,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moray College,Grampian,Educational Institutions,121,24,0,0,0,0,26,1,0,0,0,0,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moray Council and Licensing Board,Grampian,Local Government,122,1083,37,2,0,0,1067,8,0,19,0,0,687,90,202,64,2,17,1,0,0,0,16,0,0,0,0,0,12,1,1,3,0,25,7,7,0,0,4,3,0,0,0,0,0,0,0,119,0,2,0,0,20,0,0,0,0,0,0,1,1,1,4,1,0,0,0,1,11,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,2,3,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edinburgh Napier University,Lothian and Borders,Educational Institutions,125,231,3,3,0,0,214,4,0,15,0,0,123,11,84,3,4,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newbattle Abbey College,Lothian and Borders,Educational Institutions,126,22,0,0,0,0,21,1,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS 24,National,National Health Service,127,79,4,5,0,0,76,1,0,1,0,1,22,21,17,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,198,3,3,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Education for Scotland,National,National Health Service,128,46,0,1,0,0,46,0,0,0,0,0,16,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Health Scotland,National,National Health Service,129,121,0,0,0,0,120,1,0,0,0,0,25,0,9,87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS National Services Scotland,National,National Health Service,130,492,4,47,3,2,399,15,2,22,2,0,119,74,65,142,2,11,0,6,0,0,11,0,0,0,1,0,3,2,5,2,0,,11,5,0,0,3,0,2,3,1,0,0,1,0,17,1,0,0,0,4,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,37,0,6,0,2,0,0,6,0,0,3,0,0,1,0,0,0,8,0,0
North Ayrshire Council and Licensing Board,Ayrshire,Local Government,131,1254,17,14,0,0,1050,132,0,45,5,1,898,84,161,96,1,83,0,2,3,2,67,10,0,16,0,1,,,,3,0,,24,17,0,0,9,7,0,1,0,0,0,1,0,27,0,14,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Highland College,Highland and Islands,Educational Institutions,134,20,0,0,0,0,20,0,0,0,0,0,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Lanarkshire Council and Licensing Board,Strathclyde,Local Government,135,1235,12,8,0,0,1137,26,0,79,0,0,489,103,455,116,2,208,2,4,0,0,204,2,0,4,14,0,45,12,134,15,2,,11,7,4,0,8,3,1,4,5,0,0,4,1,137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,9,95,0,0,0,178,0,0,1,0,0,2,0,1,1,0,0,0,0,64,1
Office of the Scottish Charity Regulator,National,Non Ministerial Officeholders,139,70,0,2,,,36,1,0,0,0,2,16,0,20,26,0,0,,,,,,0,,,,,,,,,,2,10,10,0,0,8,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orkney and Shetland Valuation Joint Board and Assessor for Orkney and Shetland Valuation Joint Board,Highland and Islands,Local Government,140,21,0,0,0,0,19,2,0,0,0,0,14,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orkney Islands Council and Licensing Board,Highland and Islands,Local Government,141,1062,9,11,0,0,973,55,14,5,0,0,870,66,57,27,0,39,0,0,0,0,37,2,0,0,0,0,34,1,1,3,0,16,7,7,0,0,4,2,1,0,0,0,0,0,0,69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Orkney Health Board,Highland and Islands,National Health Service,143,547,6,6,0,0,501,15,0,28,0,1,349,72,93,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,1,0,0,0,0,0,0,0,0,54,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parole Board for Scotland,National,Others e.g. NDPBs,144,10,0,0,0,0,10,0,0,0,0,0,9,0,1,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perth and Kinross Council and Licensing Board,Tayside,Local Government,145,1349,25,14,0,0,1292,57,0,33,0,1,560,63,550,232,3,152,1,0,0,0,149,3,0,4,18,0,51,4,75,35,0,84,15,13,0,2,10,2,0,3,3,0,0,1,2,118,12,2,0,0,13,1,0,0,0,0,0,0,1,0,62,0,0,0,0,10,32,0,0,6,0,0,0,0,6,0,2,0,0,0,0,0,0,3,0,0,8,131,0,0,24,1,0,0,0,1,3,3,0,2,6,1,1,0,8,23,0
Perth College,Tayside,Educational Institutions,147,28,0,0,0,0,26,2,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen's and Lord Treasurer's Remembrancer,National,Non Ministerial Officeholders,149,4,,,,,4,,,,,,4,,,,,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen's Printer for Scotland,National,Non Ministerial Officeholders,150,2,,,,,1,,,,,,,,,1,,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
