AuthorityName,authority_id,Region,Sector,FOISA requests,FOISA closed - unclear,FOISA closed - withdrawn,FOISA fees notice,FOISA - fees paid,FOISA response on time,FOISA response late,FOISA - faliure to respond,FOISA refused - cost,FOISA - vexatious,FOISA - repeated,FOISA - full release,FOISA - none released,FOISA - some released,FOISA - none held ,FOISA - no confirm/deny,EIR requests,EIR closed - unclear ,EIR closed - withdrawn,EIRs fees notice,EIRs - fees paid,EIRs response on time,EIRs response late,EIRs - failure to respond,EIR timescale extended,EIRs refused - cost,EIRs - manifestly unreasonable,EIRs - full release,EIRs - none released ,EIRs - some released,EIRs - none held,EIRs - no confirm/deny,Subject Access Requests,FOISA reviews ,FOISA review - on time,FOISA review - late response,FOISA review - failure to respond,FOISA review - wholly/partially upheld,FOISA review - substituted decision,FOISA review - decision reached ,EIRs reviews,EIRs review - on time,EIRs review - late response ,EIRs review - failure to respond,EIR review - upheld,EIR review - not upheld,Otherwise accessible,Publication Scheme ,Disclosure prohibited: enactment ,Disclosure prohibited: EU obligation,Disclosure prohibited: Contempt of Court,Future publication: 12 weeks,Future publication: programme of research,Substantial prejudice to UK relations ,Formulation/development of government policy,Ministerial communications,Advice by Law Officers,Operation of Ministerial private office,Substantial prejudice to collective responsibility of Scottish Ministers,Substantial inhibition to free and frank provision of advice,Substantial inhibition to free and frank exchange of views,Substantial prejudice to effective conduct of public affairs,National security,Substantial prejudice to defence ,Substantial prejudice to international relations,Confidential information obtained from abroad,Trade secret,Substantial prejudice to commercial interests,Substantial prejudice to the economic interests of the UK,Substantial prejudice to the financial interests of a UK administration,Information held for the purposes of a criminal investigation,Information held for ongoing Fatal Accident Inquiry,Information held regarding cause of death,Information relating to the obtaining of information from confidential sources,Information held for purposes of civil proceedings arising out of investigations,Substantial prejudice to prevention or detection of crime,Substantial prejudice to apprehension or prosecution of offenders,Substantial prejudice to administration of justice,Substantial prejudice to assessment or collection of tax or duty,Substantial prejudice to operation of immigration controls,Substantial prejudice to maintenance of security and good order in prisons,Substantial prejudice to the exercise by a public authority for any of its functions,Substantial prejudice to civil proceedings brought by an authority,Confidentiality of communications,Actionable breach of confidence,Court records,Court records: inquiry or arbitration,Personal data of the applicant,Third party personal data ,Personal census information,Deceased person's health record,Endangerment to health or safety,Environmental information ,Substantial prejudice to audit function,Communications with the Royal Family and honours,Material in course of completion,Internal Communications,Substantial prejudice to international relations public safety etc.,Substantial prejudice to course of justice etc.,Substantial prejudice to intellectual property rights,Substantial prejudice to confidentiality of proceedings,Substantial prejudice to confidentiality of commercial or industrial information ,Substantial prejudice to the interests of a third party,Substantial prejudice to the protection of the environment,Neither confirm nor deny whether environmental information held,Personal data of the applicant,Third party personal data,Neither confirm or deny whether personal data held
East Renfrewshire Council and Licensing Board,69,Strathclyde,Local Government,807,2,9,8,0,715,83,2,8,6,1,634,74,81,43,0,212,0,5,3,0,186,21,0,0,0,0,153,22,27,12,0,27,9,7,0,0,6,2,0,3,2,0,0,1,1,34,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,2,19,0,0,1,0,0,0,3,0,0,0,0,1,1,3,0,0,0,2,0
Falkirk Council,71,Central,Local Government,1187,21,13,13,1,1171,80,3,26,0,5,913,129,154,135,1,102,0,0,0,0,96,4,0,7,0,0,68,1,1,0,0,157,30,26,4,0,17,10,3,0,0,0,0,0,0,16,7,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,14,53,0,0,0,29,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Falkirk Licensing Board,72,Central,Local Government,9,1,1,0,0,8,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fife Council and Licensing Board,73,Fife,Local Government,1230,14,2,0,0,1080,142,0,13,0,0,889,134,161,77,0,548,6,3,0,0,509,38,0,15,0,0,359,55,127,29,0,238,39,35,3,0,29,7,2,14,14,1,0,11,3,18,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,93,0,0,0,0,0,0,3,1,1,0,0,0,3,1,0,0,30,49,0
Fife Health Board,75,Fife,National Health Service,499,3,5,0,0,446,28,0,4,0,1,392,15,76,11,0,360,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,743,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forth Valley College of Further and Higher Education,78,Central,Educational Institutions,34,0,0,0,0,31,3,0,0,0,0,29,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forth Valley Health Board,79,Central,National Health Service,565,0,1,0,0,497,62,10,80,10,0,276,10,182,93,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,9,9,0,0,2,4,3,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Teaching Council for Scotland,80,National,Others e.g. NDPBs,68,1,,4,,71,2,,6,,,48,1,11,10,,,,,,,,,,,,,,,,,,,3,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glasgow Caledonian University,81,Strathclyde,Educational Institutions,222,17,1,0,0,196,13,0,7,0,1,152,9,33,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,4,4,0,0,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glasgow City Council,82,Strathclyde,Local Government,2311,1,26,0,0,2144,149,0,53,2,12,853,181,225,282,0,349,0,2,292,68,359,7,0,,1,,181,4,6,14,0,319,78,73,5,0,42,23,13,31,30,1,0,25,6,66,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,44,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,12,0,0,0,0,104,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
City of Glasgow Licensing Board,83,Strathclyde,Local Government,23,,,,,21,1,,,,,6,4,1,11,,0,,,,,,,1,,,,,,1,,,0,2,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Glasgow School of Art,85,Strathclyde,Educational Institutions,74,0,4,0,0,72,0,0,1,0,0,54,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grampian Health Board,86,Grampian,National Health Service,618,0,9,0,0,534,71,0,55,0,4,285,0,71,155,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1628,13,1,12,0,5,8,0,0,0,0,0,0,0,18,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greater Glasgow Health Board,88,Strathclyde,National Health Service,800,5,6,0,0,707,67,0,48,1,1,521,3,171,62,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,7201,15,9,6,0,8,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heriot-Watt University,93,Lothian and Borders,Educational Institutions,184,3,4,0,0,173,6,0,18,0,0,90,0,70,21,0,9,0,0,0,0,9,0,0,0,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Highland and Western Isles Valuation Joint Board,94,Highland and Islands,Local Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highland Council and Licensing Board,95,Highland and Islands,Local Government,878,8,9,0,0,758,117,3,18,0,2,629,25,106,98,0,529,2,2,0,0,410,116,3,1,0,0,440,5,42,35,0,9,19,18,1,0,15,2,2,13,11,2,0,10,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,6,12,0,0,0,0,0,0,2,1,0,0,0,3,2,0,0,0,4,1,0
Highland Health Board,97,Highland and Islands,National Health Service,549,1,3,0,0,373,164,7,15,5,0,506,5,18,21,0,153,1,1,0,0,99,45,3,135,0,0,0,0,0,0,0,13,6,5,0,0,2,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highlands and Islands Enterprise,98,Highland and Islands,Others e.g. NDPBs,67,2,2,0,0,62,2,0,0,14,0,36,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inverclyde Council,100,Strathclyde,Local Government,1029,14,6,0,0,848,157,0,13,2,3,879,44,35,29,0,12,0,0,2,0,12,0,0,1,2,7,3,8,1,0,0,27,23,14,2,5,12,3,0,8,8,0,0,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,3,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inverclyde Licensing Board,101,Strathclyde,Local Government,7,0,0,0,0,7,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inverness College,102,Highland and Islands,Educational Institutions,43,1,0,0,0,42,0,0,0,1,0,38,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keeper of the Registers of Scotland,105,National,Non Ministerial Officeholders,85,0,0,0,0,65,0,0,0,0,0,26,1,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lanarkshire Health Board,108,Strathclyde,National Health Service,589,1,6,0,0,552,27,0,34,0,1,209,106,255,36,0,8,0,0,0,0,7,2,0,0,0,0,1,1,6,1,0,,5,3,0,0,3,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,63,23,2,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Lanarkshire Valuation Joint Board,109,Strathclyde,Local Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lews Castle College,112,Highland and Islands,Educational Institutions,34,0,0,0,0,33,1,0,0,0,0,33,0,1,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Local Government Boundary Commission for Scotland,113,National,Others e.g. NDPBs,26,0,0,0,0,23,0,0,0,0,0,19,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Lomond and The Trossachs National Park Authority,114,Strathclyde,Others e.g. NDPBs,57,0,0,0,0,57,0,0,0,0,0,27,1,21,13,0,15,0,0,0,0,13,0,0,1,0,0,9,0,4,1,0,2,6,6,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,6,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,2,0
Lothian Health Board,115,Lothian and Borders,National Health Service,685,4,4,0,0,513,162,1,121,0,2,215,29,170,17,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,28,10,8,1,0,9,2,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mental Welfare Commission for Scotland,118,National,Others e.g. NDPBs,24,0,2,0,0,17,6,0,0,5,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midlothian Council,119,Lothian and Borders,Local Government,954,0,7,0,0,847,79,1,0,0,0,907,6,4,1,0,22,0,0,0,0,20,1,0,1,0,0,20,0,0,0,0,35,1,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Midlothian Licensing Board,120,Lothian and Borders,Local Government,7,0,0,0,0,7,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moray College,121,Grampian,Educational Institutions,32,0,0,0,0,27,1,0,0,1,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moray Council and Licensing Board,122,Grampian,Local Government,954,17,1,0,0,920,34,0,5,0,1,693,30,63,96,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,26,3,3,0,0,1,1,1,0,0,0,0,0,0,93,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edinburgh Napier University,125,Lothian and Borders,Educational Institutions,192,4,0,0,0,184,2,0,15,0,0,125,9,54,5,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newbattle Abbey College,126,Lothian and Borders,Educational Institutions,23,0,0,0,0,19,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS 24,127,National,National Health Service,67,1,3,0,0,49,13,0,0,0,2,38,0,14,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,4,3,0,0,1,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Education for Scotland,128,National,National Health Service,41,0,1,1,1,39,3,0,0,0,0,26,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS National Services Scotland,130,National,National Health Service,423,9,4,7,4,315,12,1,2,0,4,212,13,16,93,0,4,0,0,0,0,3,0,1,2,0,1,0,0,2,0,0,15,5,4,0,0,3,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,2,2,1,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0
North Ayrshire Council and Licensing Board,131,Ayrshire,Local Government,1192,27,15,1,0,1031,88,0,15,1,1,881,48,162,96,0,82,2,3,3,1,61,3,0,3,1,0,20,1,2,1,0,10,7,4,2,0,3,3,0,2,1,0,0,1,0,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
North Highland College,134,Highland and Islands,Educational Institutions,26,0,0,0,0,26,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Lanarkshire Council and Licensing Board,135,Strathclyde,Local Government,1155,11,7,0,0,1150,20,0,74,4,0,520,147,356,146,8,185,2,1,0,1,179,1,0,8,6,0,35,5,123,17,0,,27,22,3,0,19,5,1,6,5,0,0,3,2,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,124,0,0,2,158,0,0,1,1,1,0,0,1,3,0,4,0,0,78,0
Office of the Scottish Charity Regulator,139,National,Non Ministerial Officeholders,60,1,1,0,0,40,0,0,0,0,1,16,3,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,7,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orkney and Shetland Valuation Joint Board and Assessor for Orkney and Shetland Valuation Joint Board,140,Highland and Islands,Local Government,7,0,0,0,0,7,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orkney Islands Council and Licensing Board,141,Highland and Islands,Local Government,971,12,9,0,0,924,26,5,2,1,1,811,60,58,19,0,18,0,0,0,0,15,2,0,1,0,0,17,0,0,1,0,18,6,6,0,0,4,2,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,0,0,11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orkney Health Board,143,Highland and Islands,National Health Service,482,11,7,2,0,424,26,1,19,1,1,261,95,93,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,3,2,0,3,2,0,0,0,0,0,0,0,80,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parole Board for Scotland,144,National,Others e.g. NDPBs,14,0,0,0,0,14,0,0,0,0,0,7,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perth and Kinross Council and Licensing Board,145,Tayside,Local Government,1072,17,12,0,0,1040,32,0,40,0,3,541,79,428,149,6,206,0,0,0,0,198,8,0,1,4,0,74,7,108,32,0,40,26,20,7,3,18,4,0,16,8,4,0,9,5,100,1,0,0,0,3,0,0,0,0,0,0,0,1,0,45,0,0,0,0,3,27,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,114,0,0,1,0,0,0,1,2,3,24,0,2,7,4,0,0,3,29,0
Perth College,147,Tayside,Educational Institutions,43,0,1,0,0,37,6,0,0,0,0,37,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen's and Lord Treasurer's Remembrancer,149,National,Non Ministerial Officeholders,4,,,,,4,,,,,,,1,1,2,,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen's Printer for Scotland,150,National,Non Ministerial Officeholders,1,,,,,1,,,,,,,,,1,,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen Margaret University Edinburgh,151,Lothian and Borders,Educational Institutions,175,0,4,0,0,104,70,0,0,0,2,122,0,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
